"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g1468.t1.CDS4",21.81084086356,-4.32067487561716,0.954449475809181,-4.52687647185735,5.98619080790168e-06,0.000106076726399544
"g2021.t1.CDS1",19.1203272968062,-5.3732430351779,1.19051343387757,-4.51338295081388,6.38016679476419e-06,0.000112389092000077
"g2924.t1.CDS6",9.56807063817002,6.94277071465674,1.53906802583707,4.51102264364221,6.45158325838483e-06,0.000112978608001245
"g2540.t1.CDS7",17.6015346492871,6.67469537880722,1.49042415571735,4.47838647354359,7.52093496848052e-06,0.000130934639772903
"g1565.t1.CDS5",8.00288911255583,-7.3414435873235,1.64473790354253,-4.46359482049455,8.05959071128718e-06,0.000139496520625011
"g2540.t1.CDS10",20.2052387416697,3.3569322886575,0.753813917077644,4.45326387932916,8.4574706933452e-06,0.000145536937884906
"g1648.t1.CDS4",41.6139289539597,3.53322054329902,0.793869279874934,4.45063265813188,8.56176857092041e-06,0.000146484971469138
"g2666.t1.CDS5",54.0992028093132,4.40175726739501,0.992292635886356,4.4359467239855,9.16685189013353e-06,0.000155384514581948
"g2928.t1.CDS3",59.3760196706026,5.94087795910517,1.33939616236367,4.43548975728071,9.18631997528478e-06,0.000155384514581948
"g2716.t1.CDS1",12.568776643619,-4.715882153246,1.06741347482947,-4.41804630019252,9.9597088483608e-06,0.000167514425093616
"g208.t1.CDS5",16.3789749266341,5.85684513582848,1.32747105064683,4.4120322872387,1.02404837621129e-05,0.000171269214380956
"g1177.t1.CDS1",67.4731802334697,7.29319789749777,1.6566116932984,4.40247882288977,1.07021039050711e-05,0.000177989739248026
"g2586.t1.CDS1",169.329325305604,-2.62796774413757,0.597705664303697,-4.39675897533788,1.09879241655441e-05,0.000181728056893472
"g2409.t1.CDS1",32.6497439559705,3.03529409835889,0.690824152460687,4.39372897943318,1.11422710661175e-05,0.000183262657258738
"g2869.t1.CDS9",31.1829795834361,4.60537407621781,1.0496387445705,4.38758010795637,1.14618783178027e-05,0.000187336301890529
"g759.t1.CDS9",20.196540179382,-3.68830054153298,0.840818663260744,-4.38655884162887,1.15158022324376e-05,0.000187336301890529
"g313.t1.CDS4",13.5522569662116,6.4674129630655,1.47565668619228,4.38273551265759,1.17198361766797e-05,0.000189619305967257
"g2540.t1.CDS9",88.1729700174145,3.52948941969049,0.810578234906213,4.35428595007718,1.33501352347345e-05,0.000214412049591225
"g881.t1.CDS1",11.3335635096674,6.79576492531949,1.56097794690277,4.35353038702652,1.33962516707987e-05,0.000214412049591225
"g1769.t1.CDS5",34.6963395244452,3.80471587530603,0.875239007134277,4.34705931099152,1.37974918705683e-05,0.000219653119244287
"g2879.t1.CDS2",215.358044742781,2.8167945344812,0.649276279982303,4.33836045043564,1.4354958701464e-05,0.000227312298160948
"g208.t1.CDS4",10.4832984806356,7.02570129720695,1.62050653410946,4.3354970494259,1.45431125329697e-05,0.000228775905491066
"g549.t1.CDS12",8.6788831946305,6.80215909715022,1.56926236295976,4.33462195851098,1.46010823121607e-05,0.000228775905491066
"g2369.t1.CDS3",26.9277917128515,3.99176614350592,0.922344891043036,4.32784545376711,1.50575061841948e-05,0.000233469770366395
"g571.t1.CDS6",61.7814889767029,3.16383167232196,0.730998061420482,4.32809858096474,1.50402152003271e-05,0.000233469770366395
"g1673.t1.CDS11",13.5629418631566,-5.57403590234817,1.29302148844487,-4.31086099663518,1.62620111195296e-05,0.00025083941504062
"g1733.t1.CDS1",236.936084852784,-2.91181700855021,0.676028851468048,-4.30723777872347,1.65305882290088e-05,0.000253023645372597
"g332.t1.CDS8",11.3064766141413,6.11580968453989,1.42008094498064,4.3066627336678,1.65736012252793e-05,0.000253023645372597
"g1478.t1.CDS1",46.5299960641343,5.87078756355271,1.37141805646484,4.28081542012512,1.86209757879435e-05,0.000282829821024019
"g913.t1.CDS8",8.23467514772334,6.72858099015317,1.57281473249555,4.27805058735499,1.88537180000643e-05,0.000284911261351225
"g1253.t1.CDS5",16.2140384499182,4.81646570664753,1.13017952385802,4.2616819761571,2.02894040317752e-05,0.000305058362639367
"g1575.t1.CDS1",465.685899062752,4.49150639692467,1.05601890802123,4.25324429591973,2.10695501614234e-05,0.000315196235329435
"g248.t1.CDS1",29.0427544156451,4.50182875233353,1.0587734518309,4.25192825202473,2.11937765501619e-05,0.00031546936394916
"g2149.t1.CDS3",20.5770818052517,-3.31468901820096,0.781868648572889,-4.2394448533665,2.24073229436079e-05,0.000328603942872516
"g2879.t1.CDS3",44.9012668690085,2.17863523417141,0.513834617743306,4.23995417774632,2.23565418952726e-05,0.000328603942872516
"g549.t1.CDS6",7.46004923525543,6.56877477317984,1.54915068252667,4.24024263570419,2.23278304427841e-05,0.000328603942872516
"g2342.t1.CDS12",26.8326391346942,4.1761476821194,0.985341489911569,4.23827447121322,2.25244295724842e-05,0.000328702092339634
"g1209.t1.CDS1",58.0431733574076,-2.07555825000569,0.490066576205183,-4.23525771963008,2.2828972720073e-05,0.000331521228232474
"g2668.t1.CDS1",522.790955877657,-1.52622346862566,0.360863247962136,-4.22936798702705,2.3434874688025e-05,0.000338668067700245
